ESR Covid-19 Dashboard,,,,,,,,,,,,,
Data downloaded: 05/02/2021 20:21,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Region,Daily imported cases,Daily import-related cases,Daily locally acquired cases  epidemiologically linked,Daily locally acquired cases  unknown source,Daily under investigation,Daily total cases,Cumulative imported cases,Cumulative import-related cases,Cumulative locally acquired cases  epidemiologically linked,Cumulative locally acquired cases  unknown source,Cumulative under investigation,Cumulative total cases
20/01/2021,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
20/01/2021,Canterbury,2,0,0,0,0,2,200,18,99,8,0,325
20/01/2021,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
20/01/2021,Counties Manukau,1,1,0,0,0,2,247,29,118,15,0,409
20/01/2021,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
20/01/2021,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
20/01/2021,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
20/01/2021,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
20/01/2021,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
20/01/2021,Northland,0,0,0,0,0,0,12,7,4,5,0,28
20/01/2021,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
20/01/2021,Southern,0,0,0,0,0,0,52,131,14,19,0,216
20/01/2021,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
20/01/2021,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
